text,label
Painful pain in chest on my left side,Chest Pain
It started as a hopeless but now it's worse,Depression
Painful dizzy on my left side,Dizziness
It feels like ear hurts,Earache
Dealing with no enregy,Fatigue
My feeling down is getting unbearable,Depression
Crhonic runny tummy,Diarrhea
I am experiencing tossing and turning,Insomnia
It feelsl ike bad cough,Cough
"Help, I have wound",Cut
I've been having migraine,Headache
"Help, I have migraine",Headache
Lately I have coughing,Cough
I am experiencing earache,Earache
Severe upset stomach,Diarrhea
I've been having joint pain,Joint Pain
I am experiencing skin burn,Burn
Feeling of pain in ear throughout the day,Earache
I am experiencing fever,Fever
I think I have stiff joints,Joint Pain
I think I have lower back pain,Back Pain
Constant crying a lot keeps me awake,Depression
i have been dealing with pain in eye for a week,Eye Pain
"Doctor, I have itchy eeys",Eye Pain
i am experiencing feel sick,Nausea
Not sure if it is elbows ache or something else,Joint Pain
Is pimples something to worry about?,Acne
I have been dealing with back hurts for a week,Back Pain
Lately I have short of breath,Shortness of Breath
MILD STIFF JOINTS,Joint Pain
Chronic no omtivation,Depression
Constant burning thorat keeps me awake,Sore Throat
Suffering from diarrhae for 3 days,Diarrhea
Lately I have pain in chest,Chest Pain
I've been having pain in tooth,Toothache
I woke up with rash,Skin Rash
I have been dealing with throat hurts for a week,Sore Throat
Chronic skin breakout,Skin Rash
Lately I have chest feels tight,Shortness of Breath
I can't shake this hay fever,Allergies
Complainign of can't sleep,Insomnia
deailng with tummy hurts,Abdominal Pain
Recurring short of breath every morning,Shortness of Breath
I WOKE UP WITH DRY COUHG,Cough
"Help, I have stomach upset",Nausea
I woke up with cna't breathe,Shortness of Breath
I've been having who are you,Non-Medical
I've been havingl ower back pain,Back Pain
Recurring skin burn every morning,Burn
Do you thin kfeeling down is serious?,Depression
my problem is cool,Non-Medical
Recurring worired sick every morning,Anxiety
"Doctor, I have chest hurts",Chest Pain
I can't shake this stress,Anxiety
I am experiencing toothache,Toothache
Sudden hi there,Non-Medical
suffering from stomachu pset for 3 days,Nausea
I have been dealing with urge to vomit fro a week,Nausea
Is breathless something to worry about?,Shortness of Breath
i've been having headache,Headache
Complaining o fear hurts,Earache
complaining of feel sick,Nausea
Dealing with red spots,Skin Rash
Is haven't slept something to worry about?,Insomnia
Mild nervous,Anxiety
I have been dealing with spots on face for a week,Acne
"Help, I have sensitive teeth",Toothache
Complaining of ear hurts,Earache
Feeling of nauseat hroughout the day,Nausea
Is depressed something to owrry about?,Depression
Recurring vertigo every morning,Dizziness
I can't shake this bleeding,Cut
"Help, I have tooth hurts",Toothache
sudden sensitive teeth,Toothache
I can't shake this earache,Earache
Suffering from ear hurts for 3 days,Earache
Dealing with ilghtheaded,Dizziness
mild itch yeyes,Eye Pain
Can you help with allergic reaction?,Allergies
Recurring burned myself every morning,Burn
I have been dealing with pounding head for a week,Headache
"Dotcor, I have heart hurts",Chest Pain
Constant pain in my skull keeps me awake,Headache
Suffering from can't sleep for 3 dasy,Insomnia
i have been dealing with who are you for a week,Non-Medical
do you think good morning is seroius?,Non-Medical
Painful cut my finger on my left side,Cut
Complainingo f scratchy throat,Sore Throat
Feeling of feeling sad throughout the day,Depression
Mild no motivation,Depression
Mlid sunburn,Burn
Do you think hay fever is serious?,Allergies
can you hlep with thank you?,Non-Medical
Can you help with tooth hurts?,Toothache
My stress is getting unbearable,Anxiety
I can't shake this pain in ear,Earache
Constant sensitive teeth keeps me awake,Toothache
I THINK I HAVE POUNDING HEAD,Headache
Painful joint pain on my left side,Joint Pain
Do you think okay is serious?,Non-Medical
It feels like exhuasted,Fatigue
It started as a worn out but now it's worse,Fatigue
Sufferin gfrom pain in my skull,Headache
LatelyI  have can't sleep,Insomnia
CONSTANT STOMACH UPSET KEEPS ME AWAKE,Nausea
Suffering from breakouts for 3 days,Acne
Please tell me what to do about lightheaded,Dizziness
Constant haven't slept keeps me awake,Insomnia
Can you help with pressure in chest?,Chest Pain
I woke up with vision problems,Eye Pain
Feeling of sneeznig throughout the day,Allergies
Painful heart hurts on my left side,Chest Pain
IT FEELS LIKE CONSTIPATION,Constipation
painful hopeless on my left side,Depression
Suffering from back hurts,Back Pain
good mornnig,Non-Medical
"Help, I have pain when swallowing",Sore Throat
SUFFERING FROM TIGHT CHETS,Chest Pain
I have allergies,Allergies
Can yuo help with scratchy throat?,Sore Throat
My runny tummy is getting unbearable,Diarrhea
Sufferign from unsteady for 3 days,Dizziness
I think Ih ave earache,Earache
"Doctor, I have feeling down",Depression
PLEASE TELL ME WHAT TO DO ABOUT SHORT FO BREATH,Shortness of Breath
Complaining of eye hurts,Eye Pain
I can't shake this scratchy throat,Sore Throat
Lately I have burning throat,Sore Throat
Please tell me what to do about room is spinning,Dizziness
Suffering from skin breakout,Skin Rash
recurring breakouts every morning,Acne
My feel sick is getting unbearable,Nausea
Painful vision problems on my left side,Eye Pain
My itchy eyes is getting unbearable,Eye Pain
My earache is getting unbearable,Earache
Painful scratchy throat on my left side,Sore Throat
"Doctor, I have back hurts",Back Pain
Is allergies something to worry about?,Allergies
Suffering frmo room is spinning,Dizziness
my problem is hay fveer,Allergies
I have bcaked up,Constipation
Not sure if it is n omotivation or something else,Depression
Is red eyes something to worry about?,Eye Pain
FEELING OF RINGING IN EARS THROUGHOUT THE DAY,Earache
I have itchy eyes,Eye Pain
Suffering from spots on face,Acne
Suffeirng from drained,Fatigue
I am experiencing constipated,Constipation
"doctor, i have room is spinning",Dizziness
I think I have runny tummy,Diarrhea
I've been having skin burn,Burn
MILD HI THERE,Non-Medical
Not sure if it is aching bones or somehting else,Joint Pain
Copmlaining of hay fever,Allergies
My problem is back hurts,Back Pain
i woke up with touched something hot,Burn
My breathless is getting unbearable,Shortness of Breath
Complaining of skin breakout,Skin Rash
Feeling fo blocked ear throughout the day,Earache
Recurring pain in my joints every morning,Joint Pain
Painful tummy hurts on my left side,Abdominal Pain
Nto sure if it is knees hurt or something else,Joint Pain
Constant pain in my skull keeps me awake,Headache
SEVEER VERTIGO,Dizziness
Feeling of stiff abck throughout the day,Back Pain
I can't shake this vision problems,Eye Pain
"Docto,r I have lightheaded",Dizziness
LATELY I HAVE RED EYES,Eye Pain
Can you help with pain in tooth?,Toothache
i woke up with sunbrun,Burn
I have panic attack,Anxiety
Please tell me what ot do about unsteady,Dizziness
Suffering from worn out for 3 days,Fatigue
"Doctor, I have sore throat",Sore Throat
It started as a lightheaded but now it's worse,Dizziness
MY EARACHE IS GETTING UNBEARABLE,Earache
I cant' shake this dizzy,Dizziness
Mild ringing in ears,Earache
feeling down,Depression
do you think constipation is serious?,Constipation
Recurring pimples every morning,Acne
Constant blocked ear keeps me awake,Earache
Suffering rfom shivering,Fever
LatelyI  have zits,Acne
Feeling of tickle in throat throughout the day,Cough
Suffering from ear hurts,Earache
Constant lightheaded keepsm e awake,Dizziness
"Doctor, I have gasping for air",Shortness of Breath
I have drained,Fatigue
Recurring pain in my back every morning,Back Pain
I can't shak ethis breakouts,Acne
It feels like toothache,Toothache
It feels like random text,Non-Medical
My problem is hay fever,Allergies
Mild worried sick,Anxiety
"Doctor,  Ihave hi there",Non-Medical
It started as a fatigue but now it's worse,Fatigue
Do you think feeling down is serious?,Depression
Dealing with ringing in ears,Earache
Chronic temperature is high,Fever
I woke up wiht spots on face,Acne
I've been having good omrning,Non-Medical
acne,Acne
I have blurry vision,Eye Pain
My haven't slept is getting unbearable,Insomnia
Recurring throat is raw every morning,Sore Throat
Sudedn hard stool,Constipation
Please tell me what to do about feeling sad,Depression
I woke up with elbows ache,Joint Pain
Is shivreing something to worry about?,Fever
Lately I have hives,Skin Rash
DO YOU THINK SNEEZING IS SERIOUS?,Allergies
Is stomach upset something to worry about?,Nausea
I woke up with stomach cramps,Abdominal Pain
I woke up with joint pain,Joint Pain
i am experiencing wound,Cut
Please tell me what to do about knees hurt,Joint Pain
Please tell me what to do about hives,Skin Rash
"Doctor, I have feeling efficient",Anxiety
sudden staying awake,Insomnia
Complainnig of pain in eye,Eye Pain
Mild worn out,Fatigue
Chronic depressde,Depression
NOT SURE IF IT IS BLOCKED EAR OR SOMEHTING ELSE,Earache
I woke up with cramps,Abdominal Pain
My tummyh urts is getting unbearable,Abdominal Pain
My lethargic is getting unbearable,Fatigue
Complaining of dizzy,Dizziness
My problem is toothache,Toothache
My itchy skin is getting unbearalbe,Skin Rash
I woke up with worried sick,Anxiety
Do you think spots on face is serious?,Acne
I am expeirencing breathless,Shortness of Breath
want to vomit,Nausea
Mild abdominal pain,Abdominal Pain
zits,Acne
painful random text on my left side,Non-Medical
Is red eyes something to worry about?,Eye Pain
constant testing keeps me awake,Non-Medical
Recurring bad cough every morning,Cough
Suffering from cramps for 3 days,Abdominal Pain
Complaining fo lower back pain,Back Pain
Suffering from stiff joints for 3 days,Joint Pain
I have elbows ache,Joint Pain
Feeling of upset stomach throughout the day,Diarrhea
It started as a pain in my gut but now it's worse,Abdominal Pain
Mild pain in eye,Eye Pain
Sufefring from unsteady,Dizziness
I have bene dealing with lower back pain for a week,Back Pain
i woke up with back hurts,Back Pain
Severe ringing in easr,Earache
I think I have nervous,Anxiety
Suffering from migraine,Headache
Recurring runny tummye very morning,Diarrhea
I WOKE UP WITH HIGH TEMP,Fever
Complaining of elbows ache,Joint Pain
"Doctor, I have bleeding",Cut
Recurring pain in my skull every morning,Headache
Feeling of high temp througohut the day,Fever
I woke pu with my head is killing me,Headache
"Doctor, I have shivering",Fever
Complaining of tossinga nd turning,Insomnia
Recruring pimples every morning,Acne
I THINK I HAVE CONSTIPATED,Constipation
Mild fever,Fever
Feeling of touched something hot throughout the day,Burn
Do you think nausea is serious?,Nausea
I have been dealing with feeling hot for a week,Fever
Suffering from consitpation for 3 days,Constipation
Painful skin burn on my left side,Burn
itchy ubmps,Skin Rash
it feels like ringing in ears,Earache
I can't shake this arthritis pain,Joint Pain
Sudden shviering,Fever
Is aching bones something to worry about?,Joint Pain
"Help, I have cut my finger",Cut
"Help, I have vretigo",Dizziness
Painful splitting headache on my left side,Headache
Suffering from frequent bathroom rtips for 3 days,Diarrhea
My throat hurts is getting unbearable,Sore Throat
Can you help with throbbing in my head?,Headache
I have bulrry vision,Eye Pain
dealing with room is spinning,Dizziness
My problem is pressure in chest,Chest Pain
Severe feeling down,Depression
Chronic elbow sache,Joint Pain
Not sure if it is feverish or something else,Fever
Constant sleepy all the time keeps me awake,Fatigue
Is tooth hurts something to worry about?,Toothache
it started as a pain in ear but now it's worse,Earache
Chronic cut myself,Cut
can't breathe,Shortness of Breath
"doctor, i have gasping for air",Shortness of Breath
Ltaely I have sore throat,Sore Throat
Do you think hard to breathe is serious?,Shortness of Breath
please tell me what to do about temperature is high,Fever
I woke up with bad cough,Cough
Dealing with diarrhea,Diarrhea
I am experiencing allergic reaction,Allergies
Please tell me what to do about minor burn,Burn
"Help, I have throat hurts",Sore Throat
Painful touched something hot on my left side,Burn
"Doctor, I have stomach upset",Nausea
Lately I have wound,Cut
my burning throat is getting unbearable,Sore Throat
Suffering from tossing and turning for 3 days,Insomnia
Recruring dizzy every morning,Dizziness
Please tell me what to do about earahce,Earache
Lately I have pounding head,Headache
SEVERE STOMAC HCRAMPS,Abdominal Pain
Chronic feeling sad,Depression
I have been dealing with jonit pain for a week,Joint Pain
Suffering from chest hurts,Chest Pain
"Doctor, I have pain i nmy skull",Headache
Sufferingf rom elbows ache for 3 days,Joint Pain
lately i have pain in ear,Earache
Suffering from rash for 3 days,Skin Rash
SUFFERING FROM NO ENERGY,Fatigue
Complaining of wound,Cut
It statred as a red eyes but now it's worse,Eye Pain
Complaining of room is spinning,Dizziness
I am experiencing splitting headache,Headache
Dealing with feel like throwing up,Nausea
ztis,Acne
Sudden room is spinning,Dizziness
Painful dry cough on my left side,Cough
I am experiencign fatigue,Fatigue
Recurring toothache every mornign,Toothache
I think I have abckache,Back Pain
I have been dealing with high temp for  aweek,Fever
I have belly pain,Abdominal Pain
Suffering from burning throat for 3 days,Sore Throat
Please tell me what to do about migarine,Headache
Constant touched something hot keeps me awake,Burn
I have hacking cough,Cough
I am experiencing minor burn,Burn
Sudden feeling efficient,Anxiety
Not sure if it is throat is raw or something else,Sore Throat
I am experiencing chest hurts,Chest Pain
dizzy,Dizziness
Constant nervous keeps me awake,Anxiety
Not sure if it is arthritis pain or something else,Joint Pain
My probelm is hard to breathe,Shortness of Breath
I have been dealing with runny tummy for a week,Diarrhea
I have been dealing with pain in my joints for a week,Joint Pain
Constant abdominal pain keeps me awake,Abdominal Pain
My eye hurts is getting unbearable,Eye Pain
It feels like dizzy,Dizziness
eDaling with burned myself,Burn
Severe can't stop coughing,Cough
"Help, I have touched something hot",Burn
I am experiencing acne,Acne
tI feels like loose stools,Diarrhea
Suffering from pain in tooth,Toothache
Chronic no energy,Fatigue
I woke up with worn out,Fatigue
Complaining of hcest hurts,Chest Pain
I think I have loose stools,Diarrhea
cut m yfinger,Cut
"Doctor, I have fever",Fever
I have bene dealing with exhausted for a week,Fatigue
Sudden thank oyu,Non-Medical
"Help, I ahve worried sick",Anxiety
can you help with itchy eyes?,Eye Pain
Chronic depressed,Depression
Is hi there something to worry about?,Non-Medical
I think I have head hurts,Headache
Please tell me what to do about elbows ache,Joint Pain
My proble mis exhausted,Fatigue
Sudden allergic reaction,Allergies
Recurring crying a lot every morning,Depression
Painfult hroat hurts on my left side,Sore Throat
My feeling sad is gettnig unbearable,Depression
Do you think tiredi s serious?,Fatigue
Dealing with red spots,Skin Rash
Mild do you lik ecars,Non-Medical
Suffering from cut my finger,Cut
Severe urge to vomit,Nausea
Is sick to my stomach something to worry about?,Nausea
Do you think hay fever is serious?,Allergies
Painful earache on my left side,Earache
Severe vretigo,Dizziness
Chronic touched something hot,Burn
IT STARTED AS A GUM PAIN BUT NOW IT'S WORSE,Toothache
I think  Ihave sore throat,Sore Throat
Painful staying awake on my left side,Insomnia
Lately I have bell ypain,Abdominal Pain
I'VE BEEN HAIVNG UNSTEADY,Dizziness
I can't shaek this burning throat,Sore Throat
lately i have cut my finger,Cut
Constant cut my finger keeps me awake,Cut
Is feeling faint something to worry about?,Dizziness
Sudden tossing and turning,Insomnia
can you help with dry cough?,Cough
I am experiencing backache,Back Pain
Is belly pain something to worry about?,Abdominal Pain
Not sure if it is zits or something else,Acne
Mild haven't slept,Insomnia
Chronic pain in eye,Eye Pain
I am experiencing room is spinning,Dizziness
Recurring can't breathe every morning,Shortness of Breath
i've been having ringing ine ars,Earache
Suffering from scrathcy throat,Sore Throat
Do you think lethargic is serious?,Fatigue
I can't shake this skin burn,Burn
Not sure if it is burning throat or something else,Sore Throat
I am experiencing tooth hurts,Toothache
I can't shake this stress,Anxiety
Is okay something to worry about?,Non-Medical
can't rbeathe,Shortness of Breath
I have runny tummy,Diarrhea
Sudden feeling feficient,Anxiety
recurring pain in tooth every morning,Toothache
I have heart hurts,Chest Pain
Lately I have pounding heda,Headache
DO YOU THINK POUNDING HEAD IS SERIOUS?,Headache
I am experiencing rash,Skin Rash
Constant sore throat keeps me awake,Sore Throat
It feelsl ike itchy eyes,Eye Pain
Not sure if it is winded easily or something else,Shortness of Breath
my problem is scratch,Cut
Feeling of burned myself throughout the day,Burn
Suffering from hives for 3 days,Skin Rash
Do you think chest feels tight is serious?,Shortness of Breath
Not sure if it is panicking or something else,Anxiety
Do you think feel sick is serious?,Nausea
"Help, I have room is spinning",Dizziness
Painful allergies on my left side,Allergies
stomach cramps,Abdominal Pain
It feels like room is spinning,Dizziness
My problem is breathelss,Shortness of Breath
I am experiencing runny nose,Allergies
Painful blocked ear on ym left side,Earache
uSdden tooth hurts,Toothache
I am experiencing touched something hot,Burn
complaining of pain in tooth,Toothache
It feels like migraine,Headache
"Doctor, I have hard to breathe",Shortness of Breath
Lately I have pain in chest,Chest Pain
SEVERE TIRED,Fatigue
It feels like panicking,Anxiety
Please etll me what to do about wound,Cut
i can't shaket his backed up,Constipation
DEALING WITH CONSTIPATED,Constipation
shorto f breath,Shortness of Breath
Not sure if it is hadr to breathe or something else,Shortness of Breath
Is chest hurts something to worry about?,Chest Pain
It starteda s a cut myself but now it's worse,Cut
IT FEELS LIKE SHIVERING,Fever
I've been having backache,Back Pain
Sudden headache,Headache
It started as a stiff joints but now it's worse,Joint Pain
Please tell me what to do about red sopts,Skin Rash
I have unsteady,Dizziness
Feeling of dry cough throughout teh day,Cough
Is acne something to worry about?,Acne
I think I have bleeidng,Cut
"doctor, i have hopeless",Depression
Please tel lme what to do about runny nose,Allergies
I've been having redness on skin,Skin Rash
"Doctor, I have upset stomach",Diarrhea
It feels like anusea,Nausea
It started as ag asping for air but now it's worse,Shortness of Breath
I OWKE UP WITH STAYING AWAKE,Insomnia
Can you help with hard to breathe?,Shortness of Breath
Recurring itchy eyes every morning,Eye Pain
I woke up with wound,Cut
I can't shake this hackin gcough,Cough
DO YOU THINK BACK HURTS IS SERIOUS?,Back Pain
Mild stomach upset,Nausea
It feels like upset stomach,Diarrhea
SUFFERIN GFROM THROAT IS RAW,Sore Throat
oCmplaining of chills,Fever
Is toothaceh something to worry about?,Toothache
M yproblem is chest hurts,Chest Pain
Mild allergic reaction,Allergies
I have hay fever,Allergies
my problem is breakouts,Acne
I CAN'T HSAKE THIS BAD COUGH,Cough
I have been dealing with redenss on skin for a week,Skin Rash
feeling faint,Dizziness
Not sure if it is feeling sad or something else,Depression
I have feeling sad,Depression
Sduden feel like throwing up,Nausea
Suffering from crying a lot for 3 days,Depression
I am experiencing sensitive teeth,Toothache
Not sure if it is wound or something eles,Cut
I've been having skin breakout,Skin Rash
"Doctor, I have frequent bathroom trips",Diarrhea
It feels like hopeless,Depression
feeling of bleeding throughou tthe day,Cut
Is chest feels tight something to worry about?,Shortness of Breath
My problem is tossing and turnign,Insomnia
I've been having chest hurts,Chest Pain
I woke up with zits,Acne
i woke up with belly pain,Abdominal Pain
Constant can't sleep keeps me awake,Insomnia
recurring stomach cramps every morning,Abdominal Pain
MILD RED EYES,Eye Pain
FEELING OF PAIN IN EAR THROUGHOUT THE DAY,Earache
"Hepl, I have wound",Cut
Severe can't stop cuoghing,Cough
Lately I have pain in my joints,Joint Pain
i have been dealing with jointp ain for a week,Joint Pain
i think i have testing,Non-Medical
It started as a dry cough but now it's worse,Cough
I have been dealing with room is spinning for a week,Dizziness
Is backed u psomething to worry about?,Constipation
"Help, I have winded easily",Shortness of Breath
I woke up with heart hurts,Chest Pain
Suffering from lethargic,Fatigue
recurring backed up every morning,Constipation
I haveb een dealing with hacking cough for a week,Cough
Not sure if it is blurry vision ors omething else,Eye Pain
Daeling with gum pain,Toothache
Please tell me what to do about minor burn,Burn
NOT SURE IF IT IS RUNNY TUMMY OR SOMTEHING ELSE,Diarrhea
My problem is sneezing,Allergies
"Help, I have testing",Non-Medical
Lately I have loose stools,Diarrhea
CAN YOU HELP WITH CUT MY FINGER?,Cut
i think i have stomach ache,Abdominal Pain
I am experiencing panicking,Anxiety
i have queasy,Nausea
LATELY I HAVE EARACHE,Earache
Can you help with backache?,Back Pain
redness on skin,Skin Rash
I can't shake this room is spinning,Dizziness
Recurring dry cough every morning,Cough
I've been having sensitive teeth,Toothache
Constant panic attac kkeeps me awake,Anxiety
constant constipated keeps me awake,Constipation
Dealing with spots on face,Acne
Feeling of red eyes throughout the day,Eye Pain
Severe can't breathe,Shortness of Breath
My problem is lightheaded,Dizziness
Recurring throat is raw every morning,Sore Throat
Mild blocked ear,Earache
complaining o fdrained,Fatigue
coughing up phlegm,Cough
I woke up with nausea,Nausea
Dealing with cut my finger,Cut
lately i have erd spots,Skin Rash
I've been ahving can't breathe,Shortness of Breath
i like pizza,Non-Medical
Sudden exhausted,Fatigue
I have been dealing with feeling hot for a week,Fever
Sudden how are you,Non-Medical
Lately I have heart hurts,Chest Pain
Can you help with belly pain?,Abdominal Pain
helol,Non-Medical
Latel yI have pulled a muscle in my back,Back Pain
Mild vision problmes,Eye Pain
Ca nyou help with knees hurt?,Joint Pain
not sure if iti s sore throat or something else,Sore Throat
Chronic red spots,Skin Rash
Mild diarrhea,Diarrhea
Complaining of constipation,Constipation
i think i have allergic reaction,Allergies
Is pulled a muscle ni my back something to worry about?,Back Pain
Dealing with head hurst,Headache
It hink I have chest feels tight,Shortness of Breath
It feels like toohtache,Toothache
Do you think feel like throwing up is serious?,Nausea
"Doctor, I have runny nose",Allergies
I have been dealing with good morning for a week,Non-Medical
"oDctor, I have zits",Acne
spots on afce,Acne
My problem is sensitive teeth,Toothache
"Help, I have high temp",Fever
Complaining of runny tummy,Diarrhea
I'v ebeen having coughing,Cough
My problem is panic attack,Anxiety
LATELY I HAVE FEEL LIKE THROWIN GUP,Nausea
I woke up with feeling faint,Dizziness
I can't shake this hay fever,Allergies
"DOCTOR, I HAEV SCRATCHY THROAT",Sore Throat
Suffering from stomach upset,Nausea
"Help, I have allergies",Allergies
It started as a pain in ototh but now it's worse,Toothache
I woke up with migraine,Headache
Do you think upset stomach is serious?,Diarrhea
Severe sleepy all the time,Fatigue
Dealing with sharp pain in chest,Chest Pain
touched something hot,Burn
I have been dealing with feelnig sad for a week,Depression
It feels like splitting headache,Headache
I am experiencing stiff joints,Joint Pain
Sudden can't stop coughing,Cough
I can't shake this who are you,Non-Medical
My problem is pain in my back,Back Pain
aCn you help with acne?,Acne
My problem is worn out,Fatigue
Do you think panicking is serious?,Anxiety
Suffering form nice for 3 days,Non-Medical
Constanth ay fever keeps me awake,Allergies
my what is your name is getting unbearable,Non-Medical
Severe nom otivation,Depression
lightheaded,Dizziness
Severe red eyes,Eye Pain
Painful pimples on my left side,Acne
"Help, I have sensitive teeth",Toothache
Chronicu rge to vomit,Nausea
Constant sharp pain in chest keeps me awake,Chest Pain
I think I have feeling faint,Dizziness
Mild chills,Fever
Suffering from feel sick,Nausea
Do you think itchy eyes is serious?,Eye Pain
Sudden want to vomit,Nausea
Complaining oft hrobbing in my head,Headache
My hay fever is getting unbearable,Allergies
Chronic panic attack,Anxiety
I have sneezing,Allergies
Complaining of aching bones,Joint Pain
It strated as a upset stomach but now it's worse,Diarrhea
I have been dealing with sick to my stomac hfor a week,Nausea
Lately I have arsh,Skin Rash
It feels like runny nose,Allergies
Lately I have cut myself,Cut
Do you think blocked ear is serious?,Earache
"Help, I have runny tummy",Diarrhea
Feeling of rde spots throughout the day,Skin Rash
SUFFERING FROM PAIN IN EYE,Eye Pain
sneezing,Allergies
i am experiencing feeling efifcient,Anxiety
dealing with room is spinning,Dizziness
complaining of fatigue,Fatigue
IT FEELS LIKE UPSET STOMACH,Diarrhea
Severe runny tummy,Diarrhea
Not sure if it is blocked ear or something else,Earache
I have my head is killing me,Headache
I can't shake this can't breathe,Shortness of Breath
Constant aching bones keeps me awake,Joint Pain
not sure if it is loose stools or something else,Diarrhea
it started as a anxious but now it's worse,Anxiety
Dealnig with rash,Skin Rash
Please tell me what to do about knees hurt,Joint Pain
Painful fatigue on my left side,Fatigue
I am experiencing head hurts,Headache
It feles like earache,Earache
It started as a hard to breahte but now it's worse,Shortness of Breath
not sure if it is hay fever or something else,Allergies
Can you help with tossing and turning?,Insomnia
I've been having cool,Non-Medical
I think I hav espots on face,Acne
Please tell me what to do about sunburn,Burn
Chronic pressure in chest,Chest Pain
Severe pulled a muscle in my back,Back Pain
I woke up with lower back pain,Back Pain
SUDDEN BREATHLESS,Shortness of Breath
"Doctor, I have constipation",Constipation
Severe urge to vomit,Nausea
Complaining of sick to my tsomach,Nausea
Is room is spinning somethingt o worry about?,Dizziness
Severe burning throat,Sore Throat
I have been dealing with chest feels tight for a week,Shortness of Breath
I woke up with itchy skin,Skin Rash
iMld queasy,Nausea
Feeling of breakouts throughout hte day,Acne
Feeling of hay fever throughout the day,Allergies
It started as a staying awakeb ut now it's worse,Insomnia
Suffering from sharp pain in chest,Chest Pain
It starteda s a high temp but now it's worse,Fever
IT FEELS LIKE SORE THORAT,Sore Throat
Is pain in ear something to owrry about?,Earache
Severe sneezing,Allergies
Sudden eye hurts,Eye Pain
It feesl like feeling efficient,Anxiety
My problem is how are you,Non-Medical
Recurring trouble sleeping every morning,Insomnia
I think I have bad cough,Cough
Severe allergic reaction,Allergies
Suffering from sensitive teeth for 3 days,Toothache
recurring visionp roblems every morning,Eye Pain
Recurring burning up every morning,Fever
Painful ringing in ears on my left side,Earache
i can't shake this blurryv ision,Eye Pain
Please tell me what to do about sneezing,Allergies
Chronic hives,Skin Rash
"help, i have redness on skin",Skin Rash
I think I have burned myself,Burn
I have vision problems,Eye Pain
I woke up with feel like throwing up,Nausea
I've been having pimples,Acne
Sfufering from goodbye,Non-Medical
Complaining of stiff back,Back Pain
i think i have itchy sikn,Skin Rash
feeling of allergies throughout the day,Allergies
Dealing with unsteady,Dizziness
Suffering from nice,Non-Medical
recurring vision problems every morning,Eye Pain
Recurring panic attack every morning,Anxiety
I have been dealing with who are you for a week,Non-Medical
Suffreing from touched something hot for 3 days,Burn
SUFFERING FROM HOT OFREHEAD,Fever
I've been having itchy bumps,Skin Rash
My stiff joints is getting unbearable,Joint Pain
I've been having short fo breath,Shortness of Breath
I woke up with drained,Fatigue
Lately I have pimples,Acne
It feels like unsteady,Dizziness
I've been having acihng bones,Joint Pain
Feeling of burinng throat throughout the day,Sore Throat
Complaining of rash,Skin Rash
Please tell me what to do about hives,Skin Rash
Complaining of pain in tooth,Toothache
Severe skin burn,Burn
Complaining of sensitive teeth,Toothache
"Doctor, I have sharp pain in chest",Chest Pain
Suffering from cramp sfor 3 days,Abdominal Pain
winded easily,Shortness of Breath
Severe sleepy all the time,Fatigue
My problem is poundingh ead,Headache
I am experiencing vetrigo,Dizziness
not sure i fit is dry cough or something else,Cough
It feels like feeling faint,Dizziness
Do you htink constipation is serious?,Constipation
Not sure if it is vision problems or something else,Eye Pain
Complaining of allergic reaction,Allergies
Severe what is the waether,Non-Medical
It feels like itchy bumps,Skin Rash
I think I have skin braekout,Skin Rash
Please tell me what ot do about bleeding,Cut
I can't shake tihs sensitive teeth,Toothache
Feeling fo spots on face throughout the day,Acne
Severe touched something hot,Burn
Lately I have blocked ear,Earache
"Help, I have haven't slept",Insomnia
Constantc an't breathe keeps me awake,Shortness of Breath
I can't shake this worried sick,Anxiety
not sure if it is feeling hot or something else,Fever
my problem is throbbing in my head,Headache
I WOKE U PWITH TIRED,Fatigue
I've been having itchy skin,Skin Rash
RECURRING JOINT PAIN EVERY MORNING,Joint Pain
Lately I hav escratchy throat,Sore Throat
Not sure if it is throbbing in my head ro something else,Headache
It feels like staying awake,Insomnia
Dealing with sunburn,Burn
Can yuo help with pain in my gut?,Abdominal Pain
Sudden nervous,Anxiety
Suffering from arthritis pain for 3 days,Joint Pain
It started as a feeling faint but now it's worse,Dizziness
RECURRING BURNING THROAT EVERY MORNING,Sore Throat
Is nausea something to worry about?,Nausea
Lately I have skin breakout,Skin Rash
not sure if it is tooth hurts or something else,Toothache
Can you help with pulled a muscle in my back?,Back Pain
Do yuo think fatigue is serious?,Fatigue
Feeling of fever throughout the day,Fever
i can't shake this stomach upset,Nausea
Is sneezing something to worry about?,Allergies
Suffering from toothache for 3 days,Toothache
I think I have stomachc ramps,Abdominal Pain
I've been having lower back pain,Back Pain
It started as a worn out but now i'ts worse,Fatigue
"HELP, I HAVE ITCHY EEYS",Eye Pain
Suffering from pressure in chest,Chest Pain
Dealing with pressurei n chest,Chest Pain
I can't shake this diarrhea,Diarrhea
COMPLAINING OF LIGHTHEADED,Dizziness
I woke up with sleepy all the time,Fatigue
Lately I have no energy,Fatigue
It started as a chills but now it's worse,Fever
BLEEDING,Cut
Do you think arsh is serious?,Skin Rash
Recurring throat hurts every morning,Sore Throat
Recurringb leeding every morning,Cut
Mild worried sick,Anxiety
It feels like acne,Acne
Mild bleeding,Cut
My problem is eye hurts,Eye Pain
i've been having earache,Earache
